,Postal Code,Borough,Neighborhood
0,M1A,Not assigned,Not assigned
1,M2A,Not assigned,Not assigned
2,M3A,North York,Parkwoods
3,M4A,North York,Victoria Village
4,M5A,Downtown Toronto,"Regent Park, Harbourfront"
5,M6A,North York,"Lawrence Manor, Lawrence Heights"
6,M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government"
7,M8A,Not assigned,Not assigned
8,M9A,Etobicoke,"Islington Avenue, Humber Valley Village"
9,M1B,Scarborough,"Malvern, Rouge"
10,M2B,Not assigned,Not assigned
11,M3B,North York,Don Mills
12,M4B,East York,"Parkview Hill, Woodbine Gardens"
13,M5B,Downtown Toronto,"Garden District, Ryerson"
14,M6B,North York,Glencairn
15,M7B,Not assigned,Not assigned
16,M8B,Not assigned,Not assigned
17,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale"
18,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek"
19,M2C,Not assigned,Not assigned
20,M3C,North York,Don Mills
21,M4C,East York,Woodbine Heights
22,M5C,Downtown Toronto,St. James Town
23,M6C,York,Humewood-Cedarvale
24,M7C,Not assigned,Not assigned
25,M8C,Not assigned,Not assigned
26,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood"
27,M1E,Scarborough,"Guildwood, Morningside, West Hill"
28,M2E,Not assigned,Not assigned
29,M3E,Not assigned,Not assigned
30,M4E,East Toronto,The Beaches
31,M5E,Downtown Toronto,Berczy Park
32,M6E,York,Caledonia-Fairbanks
33,M7E,Not assigned,Not assigned
34,M8E,Not assigned,Not assigned
35,M9E,Not assigned,Not assigned
36,M1G,Scarborough,Woburn
37,M2G,Not assigned,Not assigned
38,M3G,Not assigned,Not assigned
39,M4G,East York,Leaside
40,M5G,Downtown Toronto,Central Bay Street
41,M6G,Downtown Toronto,Christie
42,M7G,Not assigned,Not assigned
43,M8G,Not assigned,Not assigned
44,M9G,Not assigned,Not assigned
45,M1H,Scarborough,Cedarbrae
46,M2H,North York,Hillcrest Village
47,M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North"
48,M4H,East York,Thorncliffe Park
49,M5H,Downtown Toronto,"Richmond, Adelaide, King"
50,M6H,West Toronto,"Dufferin, Dovercourt Village"
51,M7H,Not assigned,Not assigned
52,M8H,Not assigned,Not assigned
53,M9H,Not assigned,Not assigned
54,M1J,Scarborough,Scarborough Village
55,M2J,North York,"Fairview, Henry Farm, Oriole"
56,M3J,North York,"Northwood Park, York University"
57,M4J,East York,"East Toronto, Broadview North (Old East York)"
58,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands"
59,M6J,West Toronto,"Little Portugal, Trinity"
60,M7J,Not assigned,Not assigned
61,M8J,Not assigned,Not assigned
62,M9J,Not assigned,Not assigned
63,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park"
64,M2K,North York,Bayview Village
65,M3K,North York,Downsview
66,M4K,East Toronto,"The Danforth West, Riverdale"
67,M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange"
68,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place"
69,M7K,Not assigned,Not assigned
70,M8K,Not assigned,Not assigned
71,M9K,Not assigned,Not assigned
72,M1L,Scarborough,"Golden Mile, Clairlea, Oakridge"
73,M2L,North York,"York Mills, Silver Hills"
74,M3L,North York,Downsview
75,M4L,East Toronto,"India Bazaar, The Beaches West"
76,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel"
77,M6L,North York,"North Park, Maple Leaf Park, Upwood Park"
78,M7L,Not assigned,Not assigned
79,M8L,Not assigned,Not assigned
80,M9L,North York,Humber Summit
81,M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West"
82,M2M,North York,"Willowdale, Newtonbrook"
83,M3M,North York,Downsview
84,M4M,East Toronto,Studio District
85,M5M,North York,"Bedford Park, Lawrence Manor East"
86,M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn"
87,M7M,Not assigned,Not assigned
88,M8M,Not assigned,Not assigned
89,M9M,North York,"Humberlea, Emery"
90,M1N,Scarborough,"Birch Cliff, Cliffside West"
91,M2N,North York,"Willowdale, Willowdale East"
92,M3N,North York,Downsview
93,M4N,Central Toronto,Lawrence Park
94,M5N,Central Toronto,Roselawn
95,M6N,York,"Runnymede, The Junction North"
96,M7N,Not assigned,Not assigned
97,M8N,Not assigned,Not assigned
98,M9N,York,Weston
99,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre"
100,M2P,North York,York Mills West
101,M3P,Not assigned,Not assigned
102,M4P,Central Toronto,Davisville North
103,M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park"
104,M6P,West Toronto,"High Park, The Junction South"
105,M7P,Not assigned,Not assigned
106,M8P,Not assigned,Not assigned
107,M9P,Etobicoke,Westmount
108,M1R,Scarborough,"Wexford, Maryvale"
109,M2R,North York,"Willowdale, Willowdale West"
110,M3R,Not assigned,Not assigned
111,M4R,Central Toronto,"North Toronto West, Lawrence Park"
112,M5R,Central Toronto,"The Annex, North Midtown, Yorkville"
113,M6R,West Toronto,"Parkdale, Roncesvalles"
114,M7R,Mississauga,Canada Post Gateway Processing Centre
115,M8R,Not assigned,Not assigned
116,M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens"
117,M1S,Scarborough,Agincourt
118,M2S,Not assigned,Not assigned
119,M3S,Not assigned,Not assigned
120,M4S,Central Toronto,Davisville
121,M5S,Downtown Toronto,"University of Toronto, Harbord"
122,M6S,West Toronto,"Runnymede, Swansea"
123,M7S,Not assigned,Not assigned
124,M8S,Not assigned,Not assigned
125,M9S,Not assigned,Not assigned
126,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan"
127,M2T,Not assigned,Not assigned
128,M3T,Not assigned,Not assigned
129,M4T,Central Toronto,"Moore Park, Summerhill East"
130,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park"
131,M6T,Not assigned,Not assigned
132,M7T,Not assigned,Not assigned
133,M8T,Not assigned,Not assigned
134,M9T,Not assigned,Not assigned
135,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East"
136,M2V,Not assigned,Not assigned
137,M3V,Not assigned,Not assigned
138,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park"
139,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport"
140,M6V,Not assigned,Not assigned
141,M7V,Not assigned,Not assigned
142,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores"
143,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
144,M1W,Scarborough,"Steeles West, L'Amoreaux West"
145,M2W,Not assigned,Not assigned
146,M3W,Not assigned,Not assigned
147,M4W,Downtown Toronto,Rosedale
148,M5W,Downtown Toronto,Stn A PO Boxes
149,M6W,Not assigned,Not assigned
150,M7W,Not assigned,Not assigned
151,M8W,Etobicoke,"Alderwood, Long Branch"
152,M9W,Etobicoke,"Northwest, West Humber - Clairville"
153,M1X,Scarborough,Upper Rouge
154,M2X,Not assigned,Not assigned
155,M3X,Not assigned,Not assigned
156,M4X,Downtown Toronto,"St. James Town, Cabbagetown"
157,M5X,Downtown Toronto,"First Canadian Place, Underground city"
158,M6X,Not assigned,Not assigned
159,M7X,Not assigned,Not assigned
160,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
161,M9X,Not assigned,Not assigned
162,M1Y,Not assigned,Not assigned
163,M2Y,Not assigned,Not assigned
164,M3Y,Not assigned,Not assigned
165,M4Y,Downtown Toronto,Church and Wellesley
166,M5Y,Not assigned,Not assigned
167,M6Y,Not assigned,Not assigned
168,M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto"
169,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East"
170,M9Y,Not assigned,Not assigned
171,M1Z,Not assigned,Not assigned
172,M2Z,Not assigned,Not assigned
173,M3Z,Not assigned,Not assigned
174,M4Z,Not assigned,Not assigned
175,M5Z,Not assigned,Not assigned
176,M6Z,Not assigned,Not assigned
177,M7Z,Not assigned,Not assigned
178,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West"
179,M9Z,Not assigned,Not assigned
